"ChEMBL ID"	"Name"	"Synonyms"	"Type"	"Max Phase"	"Molecular Weight"	"Targets"	"Bioactivities"	"AlogP"	"Polar Surface Area"	"HBA"	"HBD"	"#RO5 Violations"	"#Rotatable Bonds"	"Passes Ro3"	"QED Weighted"	"CX Acidic pKa"	"CX Basic pKa"	"CX LogP"	"CX LogD"	"Aromatic Rings"	"Structure Type"	"Inorganic Flag"	"Heavy Atoms"	"HBA (Lipinski)"	"HBD (Lipinski)"	"#RO5 Violations (Lipinski)"	"Molecular Weight (Monoisotopic)"	"Molecular Species"	"Molecular Formula"	"Smiles"
"CHEMBL178"	"DAUNORUBICIN"	"Cerubidine|DAUNORUBICIN|DAUNOXOME|Daunoxome|EPIRUBICIN HYDROCHLORIDE IMPURITY, DAUNORUBICIN-|FI 6339|FI-6339|NSC-83142|RP 13057|RP-13057|VALRUBICIN IMPURITY, DAUNORUBICIN"	"Small molecule"	"4"	"527.53"	"268"	"1952"	"1.03"	"185.84"	"11"	"5"	"2"	"4"	"N"	"0.31"	"8.00"	"9.09"	"1.34"	"0.91"	"2"	"MOL"	"0"	"38"	"11"	"6"	"3"	"527.1791"	"BASE"	"C27H29NO10"	"COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1"
"CHEMBL1200588"	"CLINDAMYCIN HYDROCHLORIDE"	"CLEOCIN HYDROCHLORIDE|CLINDAMYCIN HYDROCHLORIDE|Cleocin|Clindamycin Hydrochloride|DALACIN C|U-25179E"	"Small molecule"	"4"	"461.45"	"19"	"47"	"0.39"	"102.26"	"7"	"4"	"0"	"7"	"N"	"0.44"	"12.41"	"7.55"	"1.04"	"0.65"	"0"	"MOL"	"0"	"27"	"7"	"4"	"0"	"424.1799"	"NEUTRAL"	"C18H34Cl2N2O5S"	"CCC[C@@H]1C[C@@H](C(=O)N[C@H]([C@H](C)Cl)[C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)N(C)C1.Cl"
"CHEMBL1908336"	"MIDECAMYCIN"	"MIDECAMYCIN|MIDECAMYCIN ACETATE"	"Small molecule"	"0"	"813.98"	"7"	"24"	"2.62"	"206.05"	"16"	"3"	"2"	"12"	"N"	"0.15"	"12.71"	"7.90"	"2.84"	"2.23"	"0"	"MOL"	"0"	"57"	"16"	"3"	"2"	"813.4511"	"NEUTRAL"	"C41H67NO15"	"CCOC(=O)[C@@H]1CC(=O)O[C@H](C)C/C=C/C=C/[C@H](O)[C@H](C)C[C@H](CC=O)[C@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@@H](OC(=O)CC)[C@H](C)O3)[C@H](N(C)C)[C@H]2O)[C@H]1OC"
"CHEMBL1230227"	"SABARUBICIN"	"SABARUBICIN"	"Small molecule"	"2"	"643.64"	"2"	"6"	"-0.13"	"235.53"	"14"	"7"	"3"	"6"	"N"	"0.17"	"8.04"	"10.06"	"0.88"	"0.33"	"2"	"MOL"	"0"	"46"	"14"	"8"	"3"	"643.2265"	"BASE"	"C32H37NO13"	"C[C@@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3C[C@](O)(C(=O)CO)Cc4c(O)c5c(c(O)c43)C(=O)c3ccccc3C5=O)O[C@H]2C)C[C@H](N)[C@@H]1O"
"CHEMBL1232279"	"NEMORUBICIN"	"NEMORUBICIN"	"Small molecule"	"0"	"643.64"	"3"	"4"	"0.35"	"201.75"	"14"	"5"	"2"	"7"	"N"	"0.22"	"8.02"	"5.47"	"2.38"	"2.28"	"2"	"MOL"	"0"	"46"	"14"	"5"	"2"	"643.2265"	"NEUTRAL"	"C32H37NO13"	"COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N2CCO[C@H](OC)C2)[C@H](O)[C@H](C)O1"
"CHEMBL415792"	""	""	"Small molecule"	"0"	"1487.03"	"6"	"7"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"MOL"	"-1"	"None"	"None"	"None"	"None"	"1485.5684"	"None"	"C77H84ClN11O18"	"CNC(=O)[C@@H]1NC(=O)C2NC(=O)C(NC(=O)C3NC(=O)C(CC(N)=O)NC(=O)C(NC(=O)C(CC(C)C)N(C)C(=O)OC(C)(C)C)C(O)c4ccc(c(Cl)c4)Oc4cc3cc(c4O)Oc3ccc(cc3)C2O)c2ccc(O)c(c2)-c2c1cc(O)c(CN1CCN(Cc3ccc(-c4ccccc4)cc3)CC1)c2O"
"CHEMBL410210"	""	""	"Small molecule"	"0"	"1474.33"	"4"	"5"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"MOL"	"-1"	"None"	"None"	"None"	"None"	"1472.4083"	"None"	"C75H70Cl2N8O20"	"CCCCc1ccc(CNCc2c(O)cc3c(c2O)-c2cc(ccc2O)C2NC(=O)C4NC(=O)C5NC(=O)C(Cc6ccc(c(Cl)c6)Oc6cc4cc(c6O)Oc4ccc(cc4Cl)C(O)C(NC2=O)C(=O)N[C@H]3C(=O)O)NC(=O)C(NC(=O)OC(C)(C)C)c2ccc(O)c(c2)Oc2cc(O)cc5c2)cc1"
"CHEMBL1201289"	"CLINDAMYCIN PALMITATE"	"CLINDAMYCIN PALMITATE"	"Small molecule"	"4"	"663.41"	"1"	"1"	"6.42"	"108.33"	"8"	"3"	"2"	"22"	"N"	"0.07"	"12.59"	"7.55"	"7.96"	"7.58"	"0"	"MOL"	"0"	"44"	"8"	"3"	"2"	"662.4095"	"NEUTRAL"	"C34H63ClN2O6S"	"CCCCCCCCCCCCCCCC(=O)O[C@@H]1[C@@H](O)[C@@H](O)[C@@H]([C@H](NC(=O)[C@@H]2C[C@@H](CCC)CN2C)[C@H](C)Cl)O[C@@H]1SC"
"CHEMBL262586"	""	""	"Small molecule"	"0"	"1497.39"	"6"	"7"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"MOL"	"-1"	"None"	"None"	"None"	"None"	"1495.3702"	"None"	"C76H67Cl2N9O18S"	"NC1Cc2ccc(c(Cl)c2)Oc2cc3cc(c2O)Oc2ccc(cc2Cl)C(O)C2NC(=O)C(NC(=O)C3NC(=O)C(c3cc(O)cc(Oc4cc(C5NC(=S)N(c6ccccc6)C5=O)ccc4O)c3)NC1=O)c1ccc(O)c(c1)-c1c(cc(O)c(CNC3C4CC5CC(C4)CC3C5)c1O)[C@H](C(=O)O)NC2=O"
"CHEMBL300816"	""	""	"Small molecule"	"0"	"761.01"	"3"	"3"	"2.11"	"188.87"	"14"	"6"	"3"	"8"	"N"	"0.16"	"12.18"	"14.35"	"2.72"	"-1.19"	"0"	"MOL"	"-1"	"53"	"14"	"6"	"3"	"760.5085"	"BASE"	"C39H72N2O12"	"C=C[C@@]1(O)[C@H](C)O[C@@H](O[C@H]2[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@H](N(C)C)[C@H]3O)[C@](C)(O)C[C@@H](C)CN[C@H](C)[C@@H](O)[C@](C)(O)[C@@H](CC)OC(=O)[C@@H]2C)C[C@@]1(C)OC"
"CHEMBL264310"	""	""	"Small molecule"	"0"	"1370.09"	"6"	"7"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"MOL"	"-1"	"None"	"None"	"None"	"None"	"1368.2518"	"None"	"C68H50Cl2N8O20"	"O=CC(=O)c1[nH]c2ccccc2c1NC1C(=O)NC2Cc3ccc(c(Cl)c3)Oc3cc4cc(c3O)Oc3ccc(cc3Cl)C(O)C3NC(=O)C(NC(=O)C4NC(=O)C(NC2=O)c2cc(O)cc(c2)Oc2cc1ccc2O)c1ccc(O)c(c1)-c1c(O)cc(O)cc1[C@H](C(=O)O)NC3=O"
"CHEMBL217364"	""	""	"Small molecule"	"0"	"1377.17"	"6"	"7"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"MOL"	"-1"	"None"	"None"	"None"	"None"	"1375.3192"	"None"	"C69H59Cl2N7O20"	"O=C(NC1C(=O)NC2Cc3ccc(c(Cl)c3)Oc3cc4cc(c3O)Oc3ccc(cc3Cl)C(O)C3NC(=O)C(NC(=O)C4NC(=O)C(NC2=O)c2cc(O)cc(c2)Oc2cc1ccc2O)c1ccc(O)c(c1)-c1c(O)cc(O)cc1[C@H](C(=O)O)NC3=O)OC12CC3CC(CC(C3)C1)C2"
"CHEMBL436699"	""	""	"Small molecule"	"0"	"1493.51"	"4"	"5"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"MOL"	"-1"	"None"	"None"	"None"	"None"	"1491.5597"	"None"	"C78H87Cl2N9O17"	"CCCCCCCCCCCCCCCCCCNCc1c(O)cc2c(c1O)-c1cc(ccc1O)C1NC(=O)C3NC(=O)C4NC(=O)C(Cc5ccc(c(Cl)c5)Oc5cc3cc(c5O)Oc3ccc(cc3Cl)C(O)C(NC1=O)C(=O)N[C@H]2C(=O)NC)NC(=O)C(N)c1ccc(O)c(c1)Oc1cc(O)cc4c1"
"CHEMBL2304061"	""	""	"Unknown"	"0"	"1648.96"	"1"	"2"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"MOL"	"-1"	"None"	"None"	"None"	"None"	"1646.4855"	"None"	"C79H85Cl3N10O23"	"CN[C@H](CC(C)C)C(=O)N[C@H]1C(=O)N[C@@H](CC(N)=O)C(=O)N[C@H]2C(=O)N[C@H]3C(=O)N[C@H](C(=O)N[C@@H](C(=O)NCc4ccc(-c5ccc(Cl)cc5)cc4)c4cc(O)cc(O)c4-c4cc3ccc4O)[C@H](O)c3ccc(c(Cl)c3)Oc3cc2cc(c3O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O[C@H]2C[C@](C)(N)C(O)[C@H](C)O2)Oc2ccc(cc2Cl)[C@H]1O"
"CHEMBL3989417"	"ETAMOCYCLINE"	"ETAMOCYCLINE"	"Small molecule"	"0"	"1001.06"	""	""	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"MOL"	"0"	"None"	"None"	"None"	"None"	"1000.4066"	"None"	"C50H60N6O16"	"CN(CCN(C)CNC(=O)C1=C(O)[C@@H](N(C)C)[C@@H]2C[C@H]3C(=C(O)[C@]2(O)C1=O)C(=O)c1c(O)cccc1[C@@]3(C)O)CNC(=O)C1=C(O)[C@@H](N(C)C)[C@@H]2C[C@H]3C(=C(O)[C@]2(O)C1=O)C(=O)c1c(O)cccc1[C@@]3(C)O"
"CHEMBL2106006"	"CHLORTETRACYCLINE BISULFATE"	"CHLORTETRACYCLINE BISULFATE"	"Small molecule"	"0"	"576.96"	""	""	"0.44"	"181.62"	"9"	"6"	"1"	"2"	"N"	"0.33"	"2.64"	"8.55"	"-2.89"	"-3.33"	"1"	"MOL"	"0"	"33"	"10"	"7"	"1"	"478.1143"	"ZWITTERION"	"C22H25ClN2O12S"	"CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4[C@@](C)(O)[C@H]3C[C@@H]12.O=S(=O)(O)O"
"CHEMBL2108441"	"MITOGILLIN"	"MITOGILLIN"	"Unknown"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NONE"	"0"	""	""	""	""	""	""	""	""
"CHEMBL413864"	""	""	"Small molecule"	"0"	"1362.20"	"4"	"5"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"MOL"	"-1"	"None"	"None"	"None"	"None"	"1360.3559"	"None"	"C69H62Cl2N8O18"	"NC1C(=O)NC2Cc3ccc(c(Cl)c3)Oc3cc4cc(c3O)Oc3ccc(cc3Cl)C(O)C3NC(=O)C(NC(=O)C4NC(=O)C(NC2=O)c2cc(O)cc(c2)Oc2cc1ccc2O)c1ccc(O)c(c1)-c1c(cc(O)c(CNC2C4CC5CC(C4)CC2C5)c1O)[C@H](C(=O)O)NC3=O"
"CHEMBL59779"	""	""	"Small molecule"	"0"	"869.15"	"2"	"2"	"3.34"	"186.15"	"15"	"4"	"2"	"12"	"N"	"0.21"	"12.54"	"9.57"	"4.19"	"1.39"	"0"	"MOL"	"-1"	"61"	"15"	"4"	"2"	"868.5660"	"BASE"	"C46H80N2O13"	"CC[C@H]1OC(=O)CC(O)[C@H](C)[C@@H](OC2O[C@H](C)[C@@H](O)[C@H](N(C)C)[C@H]2O)[C@@H](CCN2C[C@@H](C)C[C@@H](C)C2)CC(C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC"
"CHEMBL2103891"	"PALDIMYCIN A"	"PALDIMYCIN A"	"Small molecule"	"0"	"1127.23"	""	""	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"MOL"	"0"	"None"	"None"	"None"	"None"	"1126.3280"	"None"	"C45H66N4O23S3"	"CC[C@H](C)C(=O)O[C@@H](C)[C@@]1(O)[C@H](C)O[C@@H](O[C@H]2[C@@H](O)[C@H]([C@@]3(O)CC(=O)C(N)=C(C(=O)O)C3=O)O[C@H](COC(C)=O)[C@H]2OC(=O)C(CC(C)SC[C@H](NC(C)=O)C(=O)O)NC(=S)SC[C@H](NC(C)=O)C(=O)O)C[C@@H]1OC"
"CHEMBL3989886"	"GITALOXIN"	"GITALOXIN"	"Small molecule"	"0"	"808.96"	"1"	"1"	"2.40"	"209.13"	"15"	"5"	"2"	"9"	"N"	"0.13"	"6.82"	"None"	"2.61"	"1.93"	"0"	"MOL"	"0"	"57"	"15"	"5"	"2"	"808.4245"	"NEUTRAL"	"C42H64O15"	"C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@]5(C)[C@H]6CC[C@]7(C)[C@@H](C8=CC(=O)OC8)[C@@H](OC=O)C[C@]7(O)[C@@H]6CC[C@@H]5C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O"
"CHEMBL2103921"	"AMPHOMYCIN"	"AMFOMYCIN|AMPHOMYCIN"	"Protein"	"0"	"1290.44"	""	""	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"MOL"	"0"	"None"	"None"	"None"	"None"	"1289.6503"	"None"	"C58H91N13O20"	"CCC(C)CCCCC/C=C/CC(=O)NC(CC(=O)O)C(=O)NC(C(=O)NC(CC(=O)O)C(=O)NCC(=O)NC(CC(=O)O)C(=O)NCC(=O)NC(C(=O)NC(C(=O)N1CCCC1C(=O)NC(C)C1CC(=O)C2CNCCN2C1=O)C(C)C)C(C)N)C(C)C(=O)O"
"CHEMBL1908313"	"RIFAMEXIL"	"MDL 62,769|RIFAMEXIL"	"Small molecule"	"0"	"809.98"	"1"	"1"	"6.50"	"197.21"	"14"	"5"	"3"	"5"	"N"	"0.14"	"6.45"	"2.75"	"6.12"	"4.97"	"3"	"MOL"	"0"	"57"	"14"	"5"	"3"	"809.3557"	"ACID"	"C42H55N3O11S"	"CCN(CC)c1nc2c(s1)c1c(O)c3c(O)c(C)c4c(c32)C(=O)[C@@](C)(O/C=C/[C@H](OC)[C@@H](C)[C@@H](OC(C)=O)[C@H](C)[C@H](O)[C@H](C)[C@@H](O)[C@@H](C)/C=C/C=C(/C)C(=O)N1)O4"
"CHEMBL2104433"	"PRIMYCIN"	"PRIMYCIN"	"Small molecule"	"0"	"1078.43"	""	""	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"MOL"	"0"	"None"	"None"	"None"	"None"	"1077.7287"	"None"	"C55H103N3O17"	"CCCCC1C(=O)OC(C(C)C(O)CCCNC(=N)N)C(C)/C=C(\C)CCCCC(O)CC(O)CC(O)CC(O)CC(O)C(O[C@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)/C=C(\C)C(O)CCCC(O)CCCC(O)CCC(C)C1O"
"CHEMBL385621"	""	""	"Small molecule"	"0"	"1267.56"	"4"	"5"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"MOL"	"-1"	"None"	"None"	"None"	"None"	"1266.2785"	"None"	"C55H58N14O10S6"	"CNC(=O)C[C@@H]1NC(=O)c2csc(n2)-c2ccc(-c3nc(C(=O)NCCC[N+]4([O-])CCOCC4)cs3)nc2-c2csc(n2)-c2csc(n2)C(C(O)c2ccccc2)NC(=O)CNC(=O)c2nc(sc2COC)[C@H](C(C)C)NC(=O)c2nc1sc2C"
"CHEMBL2104129"	"BETAMICIN SULFATE"	"BETAMICIN SULFATE|SCH 14342"	"Small molecule"	"0"	"580.61"	""	""	"-6.00"	"248.39"	"14"	"10"	"2"	"6"	"N"	"0.17"	"12.05"	"9.59"	"-5.72"	"-11.26"	"0"	"MOL"	"0"	"33"	"14"	"13"	"2"	"482.2588"	"BASE"	"C19H40N4O14S"	"CN[C@@H]1[C@@H](O)[C@@H](O[C@H]2[C@H](N)C[C@H](N)[C@@H](O[C@H]3O[C@H](CN)[C@@H](O)[C@H](O)[C@H]3O)[C@@H]2O)OC[C@]1(C)O.O=S(=O)(O)O"
"CHEMBL2103892"	"PALDIMYCIN B"	"PALDIMYCIN B"	"Small molecule"	"0"	"1099.17"	""	""	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"MOL"	"0"	"None"	"None"	"None"	"None"	"1098.2967"	"None"	"C43H62N4O23S3"	"CO[C@H]1C[C@H](O[C@H]2[C@@H](O)C([C@@]3(O)CC(=O)C(N)=C(C(=O)O)C3=O)O[C@H](COC(C)=O)[C@H]2OC(=O)C(NC(=S)SC[C@H](NC(C)=O)C(=O)O)C(C)SC[C@H](NC(C)=O)C(=O)O)O[C@@H](C)[C@]1(O)[C@@H](C)OC(=O)C(C)C"
"CHEMBL2109188"	"FUSAFUNGINE"	"FUSAFUNGINE|LOCABIOTAL|S 314"	"Unknown"	"4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NONE"	"0"	""	""	""	""	""	""	""	""
"CHEMBL2109115"	"BOTULISM ANTITOXIN"	"BOTULINUM ANTITOXIN|BOTULISM ANTITOXIN"	"Unknown"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NONE"	"0"	""	""	""	""	""	""	""	""
"CHEMBL415556"	""	""	"Small molecule"	"0"	"1226.46"	"9"	"11"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"MOL"	"-1"	"None"	"None"	"None"	"None"	"1225.2155"	"None"	"C52H51N13O11S6"	"CNC(=O)C[C@@H]1NC(=O)c2csc(n2)-c2ccc(-c3nc(COC(=O)N[C@H](C)C(=O)O)cs3)nc2-c2csc(n2)-c2csc(n2)C(C(O)c2ccccc2)NC(=O)CNC(=O)c2nc(sc2COC)[C@H](C(C)C)NC(=O)c2nc1sc2C"
"CHEMBL2104401"	"DETORUBICIN"	"DETORUBICIN"	"Small molecule"	"0"	"673.67"	"2"	"19"	"0.95"	"230.60"	"15"	"5"	"2"	"11"	"N"	"0.11"	"8.00"	"9.03"	"1.86"	"1.43"	"2"	"MOL"	"0"	"48"	"15"	"6"	"3"	"673.2371"	"BASE"	"C33H39NO14"	"CCOC(OCC)C(=O)OCC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@H](N)[C@H](O)[C@H](C)O2)C1)C(=O)c1c(OC)cccc1C3=O"
"CHEMBL411390"	""	""	"Small molecule"	"0"	"1145.58"	"4"	"5"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"MOL"	"-1"	"None"	"None"	"None"	"None"	"1144.3581"	"None"	"C57H57ClN8O16"	"NC(=O)CC1NC(=O)C(N)C(O)c2ccc(c(Cl)c2)Oc2cc3cc(c2O)Oc2ccc(cc2)C(O)C2NC(=O)C(NC(=O)C3NC1=O)c1ccc(O)c(c1)-c1c(cc(O)c(CNC3C4CC5CC(C4)CC3C5)c1O)[C@H](C(=O)O)NC2=O"
"CHEMBL304634"	""	""	"Small molecule"	"0"	"803.04"	"3"	"3"	"1.58"	"198.10"	"15"	"6"	"3"	"8"	"N"	"0.15"	"11.23"	"9.75"	"2.18"	"-1.50"	"0"	"MOL"	"-1"	"56"	"15"	"6"	"3"	"802.5191"	"BASE"	"C41H74N2O13"	"CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@](O)(C#CCOC)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN[C@H](C)[C@@H](O)[C@]1(C)O"
"CHEMBL292025"	""	""	"Small molecule"	"0"	"811.07"	"3"	"3"	"3.09"	"188.87"	"14"	"6"	"3"	"8"	"N"	"0.21"	"12.01"	"9.76"	"3.71"	"-0.20"	"1"	"MOL"	"-1"	"57"	"14"	"6"	"3"	"810.5242"	"BASE"	"C43H74N2O12"	"CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@](O)(c3ccccc3)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN[C@H](C)[C@@H](O)[C@]1(C)O"
"CHEMBL1950577"	"EPITETRACYCLINE HYDROCHLORIDE"	"EPITETRACYCLINE HYDROCHLORIDE"	"Small molecule"	"0"	"480.90"	"2"	"2"	"-0.21"	"181.62"	"9"	"6"	"1"	"2"	"N"	"0.34"	"2.91"	"8.81"	"-3.47"	"-3.70"	"1"	"MOL"	"0"	"32"	"10"	"7"	"1"	"444.1533"	"ZWITTERION"	"C22H25ClN2O8"	"CN(C)[C@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12.Cl"
"CHEMBL339323"	"PANIPENEM"	"PANIPENEM"	"Small molecule"	"0"	"339.42"	"54"	"162"	"0.70"	"104.93"	"5"	"3"	"0"	"4"	"N"	"0.40"	"3.51"	"12.21"	"-3.56"	"-3.56"	"0"	"MOL"	"0"	"23"	"7"	"3"	"0"	"339.1253"	"ZWITTERION"	"C15H21N3O4S"	"CC(=N)N1CC[C@H](SC2=C(C(=O)O)N3C(=O)[C@H]([C@@H](C)O)[C@H]3C2)C1"
"CHEMBL267424"	""	""	"Small molecule"	"0"	"1757.70"	"11"	"15"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"MOL"	"-1"	"None"	"None"	"None"	"None"	"1755.6191"	"None"	"C86H99Cl2N11O25"	"CN[C@H](CC(C)C)C(=O)N[C@H]1C(=O)N[C@@H](CC(N)=O)C(=O)N[C@H]2C(=O)N[C@H]3C(=O)N[C@H](C(=O)N[C@H](C(=O)NCc4ccc(-c5ccc(Cl)cc5)cc4)c4cc(O)cc(O)c4-c4cc3ccc4O)[C@H](O[C@H]3C[C@](C)(N)[C@@H](O)[C@H](C)O3)c3ccc(cc3)Oc3cc2cc(c3O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O[C@H]2C[C@](C)(N)[C@@H](O)[C@H](C)O2)Oc2ccc(cc2Cl)[C@H]1O"
"CHEMBL269036"	""	""	"Small molecule"	"0"	"1212.43"	"4"	"5"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"MOL"	"-1"	"None"	"None"	"None"	"None"	"1211.1999"	"None"	"C51H49N13O11S6"	"CNC(=O)C[C@@H]1NC(=O)c2csc(n2)-c2ccc(-c3nc(C(=O)NCC(O)C(=O)O)cs3)nc2-c2csc(n2)-c2csc(n2)C(C(O)c2ccccc2)NC(=O)CNC(=O)c2nc(sc2COC)[C@H](C(C)C)NC(=O)c2nc1sc2C"
"CHEMBL263857"	""	""	"Small molecule"	"0"	"1375.24"	"6"	"7"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"MOL"	"-1"	"None"	"None"	"None"	"None"	"1373.3875"	"None"	"C70H65Cl2N9O17"	"CNC(=O)[C@@H]1NC(=O)C2NC(=O)C(NC(=O)C3NC(=O)C4NC(=O)C(Cc5ccc(c(Cl)c5)Oc5cc3cc(c5O)Oc3ccc(cc3Cl)C2O)NC(=O)C(N)c2ccc(O)c(c2)Oc2cc(O)cc4c2)c2ccc(O)c(c2)-c2c1cc(O)c(CNC1C3CC4CC(C3)CC1C4)c2O"
"CHEMBL3989547"	"ABAFUNGIN"	"ABAFUNGIN|BAY W 6341 "	"Small molecule"	"0"	"378.50"	"11"	"13"	"4.79"	"58.54"	"4"	"2"	"0"	"4"	"N"	"0.69"	"None"	"6.54"	"4.79"	"4.74"	"3"	"MOL"	"0"	"27"	"5"	"2"	"0"	"378.1514"	"NEUTRAL"	"C21H22N4OS"	"Cc1ccc(Oc2ccccc2-c2csc(N=C3NCCCN3)n2)c(C)c1"
"CHEMBL3215340"	""	""	"Small molecule"	"0"	"1550.24"	"6"	"7"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"MOL"	"-1"	"None"	"None"	"None"	"None"	"1548.3364"	"None"	"C71H66Cl2N8O28"	"CNC1C(=O)NC2Cc3ccc(cc3)Oc3cc4cc(c3O[C@@H]3O[C@@H](C(=O)O)[C@@H](O)[C@H](O)[C@@H]3N)Oc3ccc(cc3Cl)C(O)C3NC(=O)C(NC(=O)C4NC(=O)C(NC2=O)c2cc(cc(O)c2Cl)Oc2cc1ccc2O)c1ccc(O)c(c1)-c1c(O[C@H]2O[C@H](CO)[C@@H](O)[C@@H](O)[C@@H]2O)cc(O)cc1[C@H](C(=O)O)NC3=O"
"CHEMBL415673"	""	""	"Small molecule"	"0"	"1211.98"	"6"	"7"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"MOL"	"-1"	"None"	"None"	"None"	"None"	"1210.2514"	"None"	"C59H48Cl2N8O17"	"CNC(=O)[C@@H]1NC(=O)C2NC(=O)C(NC(=O)C3NC(=O)C4NC(=O)C(Cc5ccc(c(Cl)c5)Oc5cc3cc(c5O)Oc3ccc(cc3Cl)C2O)NC(=O)C(N)c2ccc(O)c(c2)Oc2cc(O)cc4c2)c2ccc(O)c(c2)-c2c(O)cc(O)cc21"
"CHEMBL439300"	""	""	"Small molecule"	"0"	"1567.61"	"5"	"5"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"MOL"	"-1"	"None"	"None"	"None"	"None"	"1565.6310"	"None"	"C80H95Cl2N12O17+"	"CCCCCCCCCC[N+](C)(C)CCCN(N)Cc1c(O)cc2c(c1O)-c1cc(ccc1O)C1NC(=O)C3NC(=O)C4NC(=O)C(Cc5ccc(c(Cl)c5)Oc5cc3cc(c5O)Oc3ccc(cc3Cl)C(O)C(NC1=O)C(=O)N[C@H]2C(=O)NCCCCCCN)NC(=O)C(N)c1ccc(O)c(c1)Oc1cc(O)cc4c1"
